airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ah81k144wfKlappe,ok,,56.665223443,1447205346.9,5894866.5321,27130755.87,436955997.73,5617825.0621,120917712.02,0.0,0.0,0.0,-1.6557419426e-09,1.8111703181e-09,4.5727745579e-10,2.1764607875e-09,0.0,0.0,2.0522403281e-08,0.0,0.0,0.0,0.0,-8.8053041586e-10,0.21800658613,0.0082234738839,-0.12097682826,0.012829945854
ah80140,ok,,53.850323639,1375314021.0,3334706.5691,14671206.474,424918147.18,2944271.8202,106075810.31,0.0,0.0,0.0,-1.0656258008e-08,2.3253173315e-09,1.485462095e-09,1.4630915104e-08,0.0,0.0,3.5152612261e-10,0.0,0.0,0.0,0.0,-8.1745176614e-09,0.21930709214,0.026112203987,-0.0011722364703,0.048789808711
ah83159,ok,,53.588325087,1368622691.1,5196010.9239,19284293.693,420592098.35,4272857.0602,104004600.12,0.0,0.0,0.0,-6.6431119273e-09,2.1834884141e-09,-6.9747445788e-10,8.3050713282e-09,0.0,0.0,-2.4973840316e-08,0.0,0.0,0.0,0.0,-1.9759573555e-09,0.22124257935,0.026519091819,0.12976434709,0.043153241345
ah85l120,ok,,53.526673594,1367048138.6,3089323.4513,425707178.34,10593179.761,2378601.1676,104981111.97,0.0,0.0,0.0,-1.5035859511e-17,2.1822739106e-09,-5.1477539033e-17,3.7659896124e-16,0.0,0.0,-5.0396336303e-08,0.0,0.0,0.0,0.0,5.1477514079e-17,0.22909754177,6.3816041235e-11,0.1556905836,1.1634360027e-09
ah88k136,ok,,54.676738671,1396420304.2,3897626.1788,13887080.718,430282481.07,3221173.0968,110745195.59,0.0,0.0,0.0,-7.1739229131e-09,2.2544375226e-09,6.3293591885e-11,9.4393761035e-09,0.0,0.0,-3.4073270246e-08,0.0,0.0,0.0,0.0,-6.0449932592e-09,0.23410054397,0.018557298642,0.13280487011,0.036791159413
ah93156,ok,,54.381269222,1388874142.0,5314873.8757,18998102.064,426503199.43,4358013.4492,108617420.57,0.0,0.0,0.0,-6.2395061517e-09,2.1654736741e-09,-3.5457135295e-10,8.0789695022e-09,0.0,0.0,-2.2629579003e-08,0.0,0.0,0.0,0.0,-2.9704513955e-09,0.22639383925,0.024265360132,0.12027335826,0.04293870395
ah93157,ok,,54.483743938,1391491302.0,5318657.1658,18890753.48,427353719.89,4356431.0106,109244628.63,0.0,0.0,0.0,-6.2281766547e-09,2.1618934156e-09,-2.7607190826e-10,7.9877900277e-09,0.0,0.0,-2.1729304982e-08,0.0,0.0,0.0,0.0,-3.102542052e-09,0.22693407351,0.02406995932,0.11557072365,0.042484316669
ah93k131,ok,,54.407984527,1389556439.5,3575562.246,13366491.605,428481603.63,3012329.8002,109197807.36,0.0,0.0,0.0,-8.8220968785e-09,2.303658965e-09,6.5236537698e-12,1.2147150618e-08,0.0,0.0,-3.3924827723e-08,0.0,0.0,0.0,0.0,-6.9234477614e-09,0.23135051368,0.021759824211,0.12130033321,0.043432893146
ah93k130,ok,,54.445443257,1390513119.2,3603233.9306,13353612.526,428802378.39,3023673.1389,109432283.53,0.0,0.0,0.0,-8.7180671207e-09,2.28726179e-09,-2.0386885742e-10,1.2019430692e-08,0.0,0.0,-3.6244638431e-08,0.0,0.0,0.0,0.0,-6.3401033704e-09,0.23191635346,0.02192294499,0.13059791099,0.043308820497
ah93k132,ok,,54.15796458,1383171037.8,3729819.1128,13806346.661,426401052.84,3108304.1042,107676666.6,0.0,0.0,0.0,-8.410739544e-09,2.2893212111e-09,-2.3006054481e-10,1.1368243236e-08,0.0,0.0,-3.5622831636e-08,0.0,0.0,0.0,0.0,-5.9445453929e-09,0.22968585279,0.021906830736,0.13286671829,0.042401490899
ah93w174,ok,,54.337760705,1387762953.3,5515875.5907,21669381.225,424398302.72,4748599.6738,107901162.51,0.0,0.0,0.0,-5.6773240442e-09,2.0656897374e-09,-1.9009825909e-11,7.8499071827e-09,0.0,0.0,-4.8782004413e-09,0.0,0.0,0.0,0.0,-1.1789259657e-09,0.21945358712,0.02573162721,0.02690754674,0.043299111418
ah93w215,ok,,56.482312072,1442533869.5,8668179.5788,29933494.142,436001902.91,7437654.9003,119840921.23,0.0,0.0,0.0,-2.9082334062e-09,1.9278991764e-09,4.0155750631e-11,3.9131502142e-09,0.0,0.0,-3.3650954054e-09,0.0,0.0,0.0,0.0,-7.6142116577e-10,0.22905954821,0.020333924512,0.029169251274,0.033919888775
