airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
tsagi12,ok,,30.861821318,324077955.05,1011904.6101,3564129.7001,150437368.5,532989.98431,26100054.761,-1.2865304585e-09,1.5524686277e-08,-3.1879107349e-08,-2.6621876967e-08,9.6255356638e-09,2.8595011757e-09,2.0117578439e-08,6.0505276566e-08,-2.1057929512e-10,-7.9070019679e-08,-5.7037218146e-10,5.5810244636e-08,-2.2992285781e-09,-5.9531973082e-09,-3.2367442869e-08,0.23916373877,0.010066314369,0.080011317434,0.020357070366
tempest3,ok,,30.53197776,322105539.44,719657.63456,2517720.3174,150794598.85,365907.76876,25600175.909,-9.7823112306e-10,1.9755544455e-08,-3.8053682874e-08,-2.1063207501e-08,9.3763442741e-09,-7.5795133017e-10,1.6678220713e-08,7.3800721175e-08,-1.319059179e-10,-1.6032314573e-07,-3.6532455741e-09,6.6933141829e-08,-6.2688987672e-09,-8.5872326e-09,-9.3356885703e-09,0.2381912389,0.006893611365,0.11537777582,0.012002608867
tsagi8,ok,,30.053942742,320450868.45,426655.36183,1655625.1204,152914140.87,215137.571,24967322.395,-1.3715320806e-09,2.3107968976e-08,-4.9821354551e-08,-4.4516108652e-08,1.0028459754e-08,3.4648222744e-09,3.198809351e-08,9.4101453653e-08,-3.6895366749e-10,-2.2060133213e-07,-3.259698993e-09,8.1423627568e-08,-1.1750217544e-08,-1.5043544769e-08,-5.4367648519e-08,0.23734915212,0.0068018662417,0.094120741182,0.013647891611
th25816,ok,,32.343194642,336219739.9,4996964.1813,15473339.881,147665316.35,2808501.7691,28310233.607,-1.4760162525e-09,8.650073868e-09,-1.3921294264e-08,-1.0507006597e-08,8.2856526958e-09,-2.1130286438e-09,8.8568630405e-09,2.7355707861e-08,-6.4840073366e-11,-3.5850855301e-08,-4.970537232e-10,2.6452308067e-08,-8.2841294296e-10,-1.3681273289e-09,2.572877015e-09,0.23670456066,0.031221166951,0.17914543981,0.044257427372
t16,ok,,32.246738258,350188345.32,154899.28996,4195712.799,153543125.62,286592.02298,28494264.976,-9.3679598412e-09,1.7649946621e-08,-7.1529406212e-08,-2.1539202022e-07,1.4361621874e-08,-7.815372375e-08,6.6636660929e-07,3.4892253367e-08,-4.055486986e-11,-8.0975167066e-07,3.2879070965e-09,3.5406696638e-08,-1.0094939338e-08,-3.3164819723e-10,-9.1205997693e-08,0.24851529235,0.055271890037,0.12542995883,0.10321971463
tsagi_r3a,ok,,30.659736337,324854851.36,870917.0976,3822877.5955,154153675.6,484954.26652,26309535.41,-2.6341054113e-09,1.0227702282e-08,-3.5118429072e-08,-5.6598986819e-08,1.0322158913e-08,7.8923015895e-09,4.2627380875e-08,5.9016791179e-08,-6.9916472761e-10,3.6074669051e-08,-5.1621228666e-09,5.0288450375e-08,-7.7419183331e-09,-1.2392189182e-08,-5.60949586e-08,0.23085777603,0.021183766344,-0.031418046066,0.03712491483
ua2-180,ok,,31.670744453,331616465.07,2094186.1633,8567403.8146,149898386.31,1289671.121,27446841.085,-3.3993696843e-09,8.8280234359e-09,-2.176047309e-08,-4.0580579754e-08,9.8487695729e-09,2.0944771615e-09,3.7327081503e-08,3.696472847e-08,-4.4757390521e-10,-2.0521861356e-08,-2.5766104477e-09,3.4602690217e-08,-4.8838650358e-09,-4.18427087e-09,-2.71782481e-08,0.23092855005,0.044298509538,0.042976598098,0.078169857601
ua2-180sm,ok,,31.693141663,331791805.36,2098161.1933,8562808.2464,149969558.66,1292769.7019,27492683.169,-3.3970742982e-09,8.7977138665e-09,-2.1738348582e-08,-4.0485695303e-08,9.8122489666e-09,2.1181268281e-09,3.7297821758e-08,3.6915759816e-08,-4.4366344738e-10,-2.0104718566e-08,-2.6130844744e-09,3.4604522977e-08,-4.7371455737e-09,-4.1598934391e-09,-2.7071793972e-08,0.23046342587,0.044330067666,0.042182940298,0.078256842208
ua79sf18,ok,,31.173511216,326412537.15,2479837.4358,8804773.0274,147260063.05,1391398.1407,26344738.043,-1.9247481775e-09,1.1185319984e-08,-2.0331895977e-08,-1.9421028488e-08,8.9393994623e-09,-2.7757895623e-09,1.7114890812e-08,3.8355449208e-08,-1.9055298374e-10,-6.0148986684e-08,-2.1129669803e-09,3.563078504e-08,-3.8417619697e-09,-4.1392510793e-09,6.487422995e-10,0.23596777259,0.027235404751,0.1491597089,0.042442146945
ua79sfm,ok,,32.452932889,336492479.74,4476041.2816,13095245.454,148931543.58,2443010.9354,28620366.552,-1.8197453885e-09,1.0849959281e-08,-1.4568587011e-08,-1.1966480574e-08,8.0918330587e-09,-6.1851552655e-09,9.6458502559e-09,2.9355811814e-08,1.4825845667e-11,-5.8236956543e-08,1.4722055569e-10,2.8821518654e-08,8.7587785294e-11,-5.4159086074e-10,1.924248797e-08,0.24713027324,0.04095094642,0.2606710216,0.043175223941
