airfoil_name,status,error,mu,ea,gj,ga22,ga33,ei22,ei33,cmp12r,cmp13r,cmp14r,cmp15r,cmp16r,cmp23r,cmp24r,cmp25r,cmp26r,cmp34r,cmp35r,cmp36r,cmp45r,cmp46r,cmp56r,tc2,tc3,sc2,sc3
ah79100b,ok,,3.2051949412,284364570.2,52932.338835,271949.30905,11670629.215,429822.47046,23982600.029,0.0,0.0,0.0,-1.0389343556e-07,9.8751983367e-09,-4.1967563721e-08,1.4329695264e-06,0.0,0.0,-4.554446196e-07,0.0,0.0,0.0,0.0,4.7236803568e-09,0.24189081328,0.045147044196,0.024107748925,0.075850428514
ah79100c,ok,,3.2190485072,285593657.17,64359.01024,295513.12912,11714602.246,487401.26487,24285726.593,0.0,0.0,0.0,-9.4612154604e-08,9.806299757e-09,-9.589870935e-08,1.2321012529e-06,0.0,0.0,-1.1152470402e-06,0.0,0.0,0.0,0.0,4.4472902919e-09,0.24313255569,0.046641325216,0.071776195681,0.079296817149
ah79k132,ok,,3.212625166,285023778.99,106527.55507,358556.58866,11703589.245,692829.38275,24157618.917,0.0,0.0,0.0,-3.8777086128e-08,1.0645987341e-08,7.0930454379e-09,4.0485471958e-07,0.0,0.0,-6.7139952061e-07,0.0,0.0,0.0,0.0,-2.0480070178e-08,0.24383648664,0.023410914942,0.071522549404,0.043128183435
ah79k135,ok,,3.2089975187,284701934.49,110387.80672,362428.28448,11700477.132,706617.19256,24096338.974,0.0,0.0,0.0,-3.1747890547e-08,1.0487608763e-08,6.5377982432e-09,3.2459196738e-07,0.0,0.0,-6.4070463764e-07,0.0,0.0,0.0,0.0,-1.6520363009e-08,0.2437471169,0.019590956396,0.070725979704,0.035830995358
ah79k143,ok,,3.2230744299,285950836.62,125088.01935,399976.4677,11725809.623,798389.7519,24362685.36,0.0,0.0,0.0,-2.5527461405e-08,1.033076354e-08,1.9265128754e-09,2.6259753088e-07,0.0,0.0,-6.8663315103e-07,0.0,0.0,0.0,0.0,-1.3658673658e-08,0.24487221752,0.017712723498,0.085889580881,0.032847805024
ah80129,ok,,3.2123409047,284998559.35,99121.014334,342202.2496,11702674.906,658018.11825,24151267.972,0.0,0.0,0.0,-4.4201442424e-08,1.0893808037e-08,6.1671716939e-10,4.8878254272e-07,0.0,0.0,-9.0136558575e-07,0.0,0.0,0.0,0.0,-2.4567222661e-08,0.24577137793,0.025119039163,0.089344271145,0.048448621423
ah81k144,ok,,3.2288695221,286464976.61,123095.77231,423048.91164,11709743.026,823301.29591,24417544.199,0.0,0.0,0.0,-3.5734456763e-08,1.0404712028e-08,-4.0160804283e-09,4.0385209904e-07,0.0,0.0,-5.6363840452e-07,0.0,0.0,0.0,0.0,-1.3464768668e-08,0.24435252015,0.026714837655,0.069381504706,0.049712486029
ah80140,ok,,3.240091101,287460553.96,98199.328444,375810.29309,11773804.77,685274.54617,24717605.185,0.0,0.0,0.0,-4.5529299741e-08,1.0936725283e-08,8.5573621596e-08,5.0575585658e-07,0.0,0.0,4.3959764548e-07,0.0,0.0,0.0,0.0,-3.8389723259e-08,0.24053128091,0.024890023686,-0.043168193572,0.049664885473
ah81131,ok,,3.1927661592,283261889.92,99963.094632,337855.52496,11643692.332,647283.46839,23735037.183,0.0,0.0,0.0,-3.3351838249e-08,1.1001680911e-08,3.7082287141e-08,3.4741036638e-07,0.0,0.0,-7.8676290059e-07,0.0,0.0,0.0,0.0,-3.5223832e-08,0.24293719479,0.016057759144,0.078647254285,0.034728215331
ah80136,ok,,3.2219444337,285850583.47,91260.158043,341230.04801,11724775.363,633365.62557,24335021.504,0.0,0.0,0.0,-3.8957202209e-08,1.1166744168e-08,8.4558577719e-08,4.2955285798e-07,0.0,0.0,1.5348056332e-07,0.0,0.0,0.0,0.0,-4.5959922643e-08,0.24390987734,0.017589390501,-0.014006660465,0.039201061707
